Paragraph,Titel,Anchor,Absatz,Text
1,Aufgaben der Ordnungsbehörden und der Polizei,P1-A1,1,"Die Ordnungsbehörden und die Polizei haben die Aufgabe, Gefahren für die öffentliche Sicherheit oder Ordnung abzuwehren (Gefahrenabwehr). Sie haben im Rahmen dieser Aufgabe auch die erforderlichen Vorbereitungen für die Hilfeleistung und das Handeln in Gefahrenfällen zu treffen."
1,Aufgaben der Ordnungsbehörden und der Polizei,P1-A2,2,"Die Ordnungsbehörden und die Polizei haben ferner die Aufgaben zu erfüllen, die ihnen durch andere Rechtsvorschriften übertragen sind."
1,Aufgaben der Ordnungsbehörden und der Polizei,P1-A3,3,Die Polizei hat im Rahmen der Gefahrenabwehr auch Straftaten zu verhüten sowie für die Verfolgung von Straftaten vorzusorgen (vorbeugende Bekämpfung von Straftaten).
1,Aufgaben der Ordnungsbehörden und der Polizei,P1-A4,4,"Der Schutz privater Rechte obliegt der Polizei nach diesem Gesetz nur dann, wenn gerichtlicher Schutz nicht rechtzeitig zu erlangen ist und wenn ohne polizeiliche Hilfe die Verwirklichung des Rechts vereitelt oder wesentlich erschwert würde."
1,Aufgaben der Ordnungsbehörden und der Polizei,P1-A5,5,Die Polizei leistet anderen Behörden und sonstigen öffentlichen Stellen Vollzugshilfe (§§ 52 bis 54).
2,Sachliche Zuständigkeit der Ordnungsbehörden; Verordnungsermächtigung,P2-A1,1,Für die Gefahrenabwehr sind die Ordnungsbehörden zuständig (Ordnungsaufgaben).
2,Sachliche Zuständigkeit der Ordnungsbehörden; Verordnungsermächtigung,P2-A2,2,Ordnungsbehörden sind die Senatsverwaltungen und die Bezirksämter.
2,Sachliche Zuständigkeit der Ordnungsbehörden; Verordnungsermächtigung,P2-A3,3,"Nachgeordnete Ordnungsbehörden sind die Sonderbehörden der Hauptverwaltung, die für Ordnungsaufgaben zuständig sind."
2,Sachliche Zuständigkeit der Ordnungsbehörden; Verordnungsermächtigung,P2-A4,4,Die Zuständigkeit der Ordnungsbehörden wird im Einzelnen durch die Anlage zu diesem Gesetz (Zuständigkeitskatalog Ordnungsaufgaben) bestimmt. Im Vorgriff auf eine Katalogänderung kann der Senat durch Rechtsverordnung einzelne der Hauptverwaltung vorbehaltene Ordnungsaufgaben den Bezirken zuweisen.
2,Sachliche Zuständigkeit der Ordnungsbehörden; Verordnungsermächtigung,P2-A5,5,Bei Gefahr im Verzug kann die zuständige Senatsverwaltung die Befugnisse einer nachgeordneten Ordnungsbehörde wahrnehmen.
2,Sachliche Zuständigkeit der Ordnungsbehörden; Verordnungsermächtigung,P2-A6,6,"Der Senat kann durch Rechtsverordnung bestimmen, dass die den bezirklichen Ordnungsbehörden durch dieses Gesetz und andere Gesetze zugewiesenen Aufgaben und Befugnisse für die Dienstkräfte im Außendienst einheitlich geregelt und beschränkt werden. Durch die Rechtsverordnung können unterschiedliche Regelungen für Dienstkräfte im Parkraumüberwachungsdienst, für Dienstkräfte im Rahmen des Verkehrsüberwachungsdienstes und für Dienstkräfte im Rahmen des allgemeinen Ordnungsdienstes getroffen werden. Durch die Rechtsverordnung ist ferner die Ausrüstung der Dienstkräfte entsprechend den ihnen zugewiesenen Aufgaben und Befugnissen einheitlich zu regeln. In der Rechtsverordnung ist der Gebrauch bestimmter Ausrüstungsgegenstände für Notwehr und Nothilfe auf Grund des § 32 des Strafgesetzbuches und des § 227 des Bürgerlichen Gesetzbuches für die Dienstkräfte im Rahmen des Verkehrsüberwachungsdienstes sowie die Dienstkräfte im Rahmen des allgemeinen Ordnungsdienstes der bezirklichen Ordnungsämter zu begrenzen."
3,Hilfszuständigkeit der Berliner Feuerwehr,P3-A1,1,"Die Berliner Feuerwehr wird im Rahmen der Gefahrenabwehr hilfsweise tätig, soweit im Zusammenhang mit den ihr obliegenden Aufgaben eine Gefahr abzuwehren ist, deren Abwehr durch eine andere Behörde nicht oder nicht rechtzeitig möglich erscheint. Sie unterrichtet die zuständige Behörde unverzüglich von allen diese betreffenden Vorgängen; § 44 bleibt unberührt."
3,Hilfszuständigkeit der Berliner Feuerwehr,P3-A2,2,Die Berliner Feuerwehr leistet anderen Behörden und sonstigen öffentlichen Stellen Vollzugshilfe (§§ 52 bis 54).
4,Verhältnis der Polizei zu den Ordnungsbehörden,P4-A1,1,"Die Polizei wird im Rahmen der Gefahrenabwehr mit Ausnahme der Fälle des § 1 Abs. 1 Satz 2 und Abs. 3 in eigener Zuständigkeit nur tätig, soweit die Abwehr der Gefahr durch eine andere Behörde nicht oder nicht rechtzeitig möglich erscheint. Sie unterrichtet die zuständige Behörde unverzüglich von allen diese betreffenden Vorgängen; § 44 bleibt unberührt."
4,Verhältnis der Polizei zu den Ordnungsbehörden,P4-A2,2,Die Bezirksämter stellen der Polizei Berlin auf deren Ersuchen im Wege der Amtshilfe die ihnen zugeordneten Dienstkräfte im Verkehrsüberwachungsdienst zur Verfügung. Die Dienstkräfte werden hierbei im Rahmen der ihnen allgemein eingeräumten Befugnisse tätig.
5,Dienstkräfte der Polizei; Verordnungsermächtigung,P5-A1,1,Polizei im Sinne dieses Gesetzes ist die Polizei Berlin.
5,Dienstkräfte der Polizei; Verordnungsermächtigung,P5-A2,2,"Mit der Wahrnehmung bestimmter polizeilicher Aufgaben kann der Senat durch Rechtsverordnung Dienstkräfte der Polizei, die nicht Polizeivollzugsbeamte sind, betrauen, soweit dafür ein Bedürfnis besteht. Die Rechtsverordnung bestimmt die ihnen zur Erfüllung ihrer Aufgaben zugewiesenen polizeilichen Befugnisse."
5,Dienstkräfte der Polizei; Verordnungsermächtigung,P5-A3,3,"Der Senat kann sonstigen Personen durch Rechtsverordnung bestimmte polizeiliche Befugnisse nur übertragen, wenn sie damit einverstanden sind und ihre Heranziehung zu polizeilichen Aufgaben gesetzlich vorgesehen ist."
5a,Legitimations- und Kennzeichnungspflicht,P5a-A1,1,"Auf Verlangen der von einer polizeilichen Maßnahme betroffenen Person haben sich Polizeidienstkräfte auszuweisen, soweit der Zweck der Maßnahme dadurch nicht beeinträchtigt wird."
